code,section,domain,label_fr,periods,age_routes,response_scale,required_for_completion
B2.01,B,B2,"Détresse face à un changement inattendu",current|childhood,toddler|child|adolescent|adult,0-4|unknown|NA,false
B2.02,B,B2,"Besoin d'anticiper précisément les événements",current|childhood,child|adolescent|adult,0-4|unknown|NA,false
B2.03,B,B2,"Routines ou procédures personnelles difficiles à modifier",current|childhood,toddler|child|adolescent|adult,0-4|unknown|NA,false
B2.04,B,B2,"Pensée rigide ou difficulté à envisager plusieurs solutions",current|childhood,adolescent|adult,0-4|unknown|NA,false
B2.05,B,B2,"Réaction intense quand l'ordre ou la séquence attendue est perturbé",current|childhood,toddler|child|adolescent|adult,0-4|unknown|NA,false
B3.01,B,B3,"Intérêts très intenses ou absorbants",current|childhood,child|adolescent|adult,0-4|unknown|NA,false
B3.02,B,B3,"Accumulation exhaustive d'informations sur certains sujets",current|childhood,child|adolescent|adult,0-4|unknown|NA,false
B3.03,B,B3,"Difficulté à interrompre une activité liée à un intérêt",current|childhood,child|adolescent|adult,0-4|unknown|NA,false
B3.04,B,B3,"Tendance à ramener les échanges vers un domaine d'intérêt",current|childhood,child|adolescent|adult,0-4|unknown|NA,false
B3.05,B,B3,"Investissement disproportionné au détriment d'autres activités",current|childhood,adolescent|adult,0-4|unknown|NA,false
B4.01,B,B4,"Hypersensibilité aux sons",current|childhood,toddler|child|adolescent|adult,0-4|unknown|NA,false
B4.02,B,B4,"Hypersensibilité à la lumière ou à certains motifs visuels",current|childhood,toddler|child|adolescent|adult,0-4|unknown|NA,false
B4.03,B,B4,"Hypersensibilité aux textures, vêtements, contacts ou températures",current|childhood,toddler|child|adolescent|adult,0-4|unknown|NA,false
B4.04,B,B4,"Sensibilité aux odeurs ou goûts",current|childhood,toddler|child|adolescent|adult,0-4|unknown|NA,false
B4.05,B,B4,"Recherche de pression, mouvement ou stimulation tactile",current|childhood,toddler|child|adolescent|adult,0-4|unknown|NA,false
B4.06,B,B4,"Réaction faible à la douleur, au froid, à la faim ou aux signaux corporels",current|childhood,toddler|child|adolescent|adult,0-4|unknown|NA,false
B4.07,B,B4,"Surcharge dans les environnements riches en stimuli",current|childhood,child|adolescent|adult,0-4|unknown|NA,false
E.01,E,camouflaging,"Préparation de scripts avant une interaction",current,adolescent|adult,0-4|unknown|NA,false
E.02,E,camouflaging,"Imitation volontaire des comportements sociaux",current,adolescent|adult,0-4|unknown|NA,false
E.03,E,camouflaging,"Forçage du contact visuel ou des expressions",current,adolescent|adult,0-4|unknown|NA,false
E.04,E,camouflaging,"Analyse consciente des règles sociales",current,adolescent|adult,0-4|unknown|NA,false
E.05,E,camouflaging,"Écart entre fonctionnement public et épuisement privé",current,adolescent|adult,0-4|unknown|NA,false
E.06,E,camouflaging,"Impression de jouer un rôle social",current,adolescent|adult,0-4|unknown|NA,false
F.01,F,differential,"TDAH connu ou suspecté",lifetime,child|adolescent|adult,diagnosed|suspected|under_evaluation|ruled_out|not_reported|unknown,false
F.02,F,differential,"Anxiété sociale connue ou suspectée",lifetime,child|adolescent|adult,diagnosed|suspected|under_evaluation|ruled_out|not_reported|unknown,false
F.03,F,differential,"Dépression connue ou suspectée",lifetime,adolescent|adult,diagnosed|suspected|under_evaluation|ruled_out|not_reported|unknown,false
F.04,F,differential,"TOC connu ou suspecté",lifetime,child|adolescent|adult,diagnosed|suspected|under_evaluation|ruled_out|not_reported|unknown,false
F.05,F,differential,"Psychotraumatisme connu ou suspecté",lifetime,child|adolescent|adult,diagnosed|suspected|under_evaluation|ruled_out|not_reported|unknown,false
F.06,F,differential,"Trouble du langage ou déficience sensorielle",lifetime,toddler|child|adolescent|adult,diagnosed|suspected|under_evaluation|ruled_out|not_reported|unknown,false
